metabolite_name,chemical_formula,smiles,inchikey,name,uniprotkb
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Equilibrative nucleoside transporter 1,Q99808
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Vascular cell adhesion protein 1,P19320
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glutamate receptor 1,P42261
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,5-hydroxytryptamine receptor 3A,P46098
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Equilibrative nucleoside transporter 2,Q14542
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-10,Q9GZZ6
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-9,Q9UGM1
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Voltage-dependent L-type calcium channel subunit alpha-1S,Q13698
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Voltage-dependent L-type calcium channel subunit beta-1,Q02641
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Voltage-dependent calcium channel gamma-1 subunit,Q06432
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Voltage-dependent calcium channel gamma-2 subunit,Q9Y698
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glutamate receptor 2,P42262
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glutamate [NMDA] receptor subunit 3A,Q8TCU5
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit delta,O14764
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit pi,O00591
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glycine receptor subunit alpha-1,P23415
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glycine receptor subunit alpha-2,P23416
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,G protein-activated inward rectifier potassium channel 1,P48549
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,G protein-activated inward rectifier potassium channel 4,P48544
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,G protein-activated inward rectifier potassium channel 2,P48051
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,G protein-activated inward rectifier potassium channel 3,Q92806
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-2,Q15822
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,5-hydroxytryptamine receptor 3B,O95264
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit beta-2,P17787
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-5,P30532
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit beta-4,P30926
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-3,P32297
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-7,P36544
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glutamate receptor 3,P42263
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-4,P43681
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Glutamate receptor 4,P48058
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit beta-3,Q05901
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,Neuronal acetylcholine receptor subunit alpha-6,Q15825
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,5-hydroxytryptamine receptor 3D,Q70Z44
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,5-hydroxytryptamine receptor 3C,Q8WXA8
Ethanol,C2H6O,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,5-Hydroxytryptamine receptor 3E,A5X5Y0
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,"4-aminobutyrate aminotransferase, mitochondrial",P80404
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,4-trimethylaminobutyraldehyde dehydrogenase,P49189
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Alpha-aminoadipic semialdehyde dehydrogenase,P49419
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Aldehyde dehydrogenase family 1 member A3,P47895
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,"Aldehyde dehydrogenase, mitochondrial",P05091
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Fatty aldehyde dehydrogenase,P51648
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,"Aldehyde dehydrogenase X, mitochondrial",P30837
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,"Glycine amidinotransferase, mitochondrial",P50440
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Glutamine synthetase,P15104
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Glutamate decarboxylase 2,Q05329
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Glutamate decarboxylase 1,Q99259
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Arginine decarboxylase,Q96A70
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid type B receptor subunit 1,Q9UBS5
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,"Probable glutamate--tRNA ligase, mitochondrial",Q5JPH6
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid type B receptor subunit 2,O75899
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit beta-1,P18505
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit beta-2,P47870
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit beta-3,P28472
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit delta,O14764
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit epsilon,P78334
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit pi,O00591
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit rho-1,P24046
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit rho-2,P28476
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit rho-3,A8MPY1
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Carnosine synthase 1,A5YM72
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor-associated protein-like 2,P60520
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor-associated protein,O95166
gamma-Aminobutyric acid,C4H9NO2,NCCCC(O)=O,BTCSSZJGUNDROE-UHFFFAOYSA-N,Gamma-aminobutyric acid receptor-associated protein-like 1,Q9H0R8
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Glucose-6-phosphate 1-dehydrogenase,P11413
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Sulfotransferase family cytosolic 2B member 1,O00204
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Glyoxylate reductase/hydroxypyruvate reductase,Q9UBQ7
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Cytochrome P450 4A11,Q02928
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,UDP-glucuronosyltransferase 1-1,P22309
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Hydroxyacid oxidase 1,Q9UJM8
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Hydroxyacid oxidase 2,Q9NYQ3
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Phosphoglycolate phosphatase,A6NDG6
Glycolic acid,C2H4O3,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,Cytochrome P450 4A22,Q5TCH4
Homovanillic acid,C9H10O4,COC1=C(O)C=CC(CC(O)=O)=C1,QRMZSPFSDQBLIX-UHFFFAOYSA-N,Catechol O-methyltransferase,P21964
Homovanillic acid,C9H10O4,COC1=C(O)C=CC(CC(O)=O)=C1,QRMZSPFSDQBLIX-UHFFFAOYSA-N,"Aldehyde dehydrogenase, dimeric NADP-preferring",P30838
Homovanillic acid,C9H10O4,COC1=C(O)C=CC(CC(O)=O)=C1,QRMZSPFSDQBLIX-UHFFFAOYSA-N,Aldehyde dehydrogenase family 1 member A3,P47895
Homovanillic acid,C9H10O4,COC1=C(O)C=CC(CC(O)=O)=C1,QRMZSPFSDQBLIX-UHFFFAOYSA-N,Aldehyde dehydrogenase family 3 member B2,P48448
Homovanillic acid,C9H10O4,COC1=C(O)C=CC(CC(O)=O)=C1,QRMZSPFSDQBLIX-UHFFFAOYSA-N,Aldehyde dehydrogenase family 3 member B1,P43353
Homovanillic acid,C9H10O4,COC1=C(O)C=CC(CC(O)=O)=C1,QRMZSPFSDQBLIX-UHFFFAOYSA-N,Sulfotransferase 1A3,P0DMM9
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Methylenetetrahydrofolate reductase,P42898
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Glycine N-methyltransferase,Q14749
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Formimidoyltransferase-cyclodeaminase,O95954
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Dihydrofolate reductase,P00374
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,5-formyltetrahydrofolate cyclo-ligase,P49914
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Cytochrome P450 2E1,P05181
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Canalicular multispecific organic anion transporter 2,O15438
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,ATP-binding cassette sub-family G member 2,Q9UNQ0
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folate receptor alpha,P15328
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folate transporter 1,P41440
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Thiamine transporter 1,O60779
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Proton-coupled folate transporter,Q96NT5
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folate receptor gamma,P41439
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Gamma-glutamyl hydrolase,Q92820
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Multidrug resistance-associated protein 4,O15439
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Dihydrofolate reductase,B0YJ76
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Solute carrier family 22 member 6,Q4U2R8
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,ATP-binding cassette sub-family C member 11,Q96J66
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folate receptor beta,P14207
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Mitochondrial folate transporter/carrier,Q9H2D1
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Folate transporter-like protein C2orf83,Q53S99
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,Probable folate receptor delta,A6ND01
Folic acid,C19H19N7O6,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,OVBPIULPVIDEAO-LBPRGKRZSA-N,"Dihydrofolate reductase, mitochondrial",Q86XF0
Glycocholic acid,C26H43NO6,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,Bile acid-CoA:amino acid N-acyltransferase,Q14032
Glycocholic acid,C26H43NO6,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,Glycine N-acyltransferase,Q6IB77
Glycocholic acid,C26H43NO6,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,Glycine N-acyltransferase-like protein 1,Q969I3
Glycocholic acid,C26H43NO6,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,Glycine N-acyltransferase-like protein 2,Q8WU03
Glycocholic acid,C26H43NO6,C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,RFDAIACWWDREDC-FRVQLJSFSA-N,Glycine N-acyltransferase-like protein 3,Q5SZD4
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Lanosterol 14-alpha demethylase,Q16850
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,S-formylglutathione hydrolase,P10768
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Aspartoacylase,P45381
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Aspartoacylase-2,Q96HD9
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,"C-1-tetrahydrofolate synthase, cytoplasmic",P11586
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,GTP cyclohydrolase 1,P30793
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 3A4,P08684
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2C9,P11712
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2C19,P33261
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,"Peptide deformylase, mitochondrial",Q9HBH1
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2E1,P05181
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 3A43,Q9HB55
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 1B1,Q16678
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2C18,P33260
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2F1,P24903
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 4X1,Q8N118
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2B6,P20813
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 3A5,P20815
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2A13,Q16696
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 3A7,P24462
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 4B1,P13584
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 4Z1,Q86W10
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 1A2,P05177
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 19A1,P11511
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2C8,P10632
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2S1,Q96SQ9
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2J2,P51589
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2A7,P20853
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Cytochrome P450 2A6,P11509
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,"Monofunctional C1-tetrahydrofolate synthase, mitochondrial",Q6UB35
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,"Methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase",Q7Z650
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,Kynurenine formamidase,Q63HM1
Formic acid,CH2O2,OC=O,BDAGIHXWWSANSR-UHFFFAOYSA-N,"Cytochrome P450, family 1, subfamily A, polypeptide 1",A0N0X8
